x_byte0,x_byte1,y_byte0,y_byte1,dac1,dac2
232,14,51,182,0,0
232,14,52,182,0,0
232,14,41,182,0,0
106,249,96,176,1,1
173,251,26,191,1,1
218,255,217,184,2,2
230,255,196,184,3,3
250,255,248,184,4,4
152,255,230,184,4,4
163,255,143,184,5,5
166,255,130,184,6,6
67,255,161,184,7,7
97,255,78,184,8,8
14,255,105,184,8,8
15,255,108,184,9,9
7,255,103,184,9,9
44,255,9,184,9,9
43,255,10,184,10,10
53,255,52,184,10,10
195,252,34,184,11,11
233,252,214,187,12,12
226,252,192,187,12,12
246,252,244,187,13,13
128,252,237,187,13,13
147,252,145,187,14,14
191,252,189,187,14,14
177,252,191,187,15,15
177,252,176,187,15,15
93,252,88,187,15,15
98,252,77,187,16,16
123,252,121,187,16,16
125,252,123,187,17,17
24,252,27,187,18,18
40,252,21,187,18,18
37,252,58,187,18,18
192,253,33,187,19,19
197,253,39,187,20,20
226,253,197,186,21,21
225,253,198,186,21,21
128,253,226,186,22,22
171,253,141,186,22,22
180,253,181,186,23,23
92,253,92,186,24,24
108,253,75,186,25,25
123,253,123,186,25,25
118,253,105,186,26,26
17,253,22,186,26,26
21,253,8,186,27,27
49,253,51,186,27,27
51,253,53,186,28,28
223,250,209,189,28,28
254,250,253,189,29,29
136,250,233,189,30,30
156,250,158,189,31,31
156,250,159,189,31,31
187,250,187,189,32,32
181,250,182,189,32,32
89,250,90,189,33,33
100,250,79,189,33,33
120,250,66,189,34,34
9,250,115,189,34,34
6,250,97,189,35,35
17,250,27,189,35,35
47,250,10,189,35,35
36,250,14,189,36,36
53,250,62,189,36,36
214,251,221,188,37,37
225,251,203,188,38,38
141,251,244,188,38,38
142,251,246,188,38,38
171,251,145,188,39,39
152,0,0,171,40,40
72,251,176,188,40,40
75,251,180,188,41,41
83,251,91,188,41,41
85,251,80,188,42,42
116,251,127,188,42,42
20,251,30,188,44,44
48,251,59,188,45,45
48,251,59,188,45,45
193,248,43,188,45,45
222,248,39,188,45,45
208,248,39,188,46,46
248,248,193,191,46,46
143,248,232,191,47,47
131,248,236,191,47,47
156,248,228,191,48,48
172,248,148,191,48,48
166,248,143,191,48,48
66,248,160,191,49,49
68,248,162,191,50,50
109,248,76,191,50,50
111,248,78,191,50,50
124,248,124,191,51,51
14,248,107,191,51,51
1,248,111,191,52,52
43,248,11,191,52,52
44,248,14,191,53,53
203,249,41,191,54,54
197,249,37,191,54,54
234,249,202,190,55,55
234,249,202,190,55,55
247,249,244,190,56,56
137,249,245,190,56,56
148,249,145,190,56,56
151,249,149,190,57,57
178,249,178,190,57,57
179,249,178,190,58,58
83,249,81,190,59,59
102,249,64,190,59,59
125,249,123,190,59,59
0,249,105,190,60,60
57,249,3,190,61,61
217,246,36,190,62,62
219,246,39,190,63,63
239,246,202,177,63,63
231,246,194,177,63,63
135,246,227,177,65,65
174,246,137,177,65,65
176,246,188,177,65,65
93,246,90,177,67,67
122,246,68,177,67,67
125,246,120,177,68,68
26,246,100,177,68,68
28,246,103,177,69,69
57,246,4,177,70,70
202,247,53,177,70,70
199,247,32,177,71,71
232,247,209,176,71,71
152,0,0,0,71,71
231,247,206,176,72,72
246,247,254,176,72,72
156,247,152,176,73,73
174,247,137,176,73,73
175,247,138,176,74,74
185,247,133,176,74,74
72,247,181,176,74,74
78,247,169,176,75,75
106,247,84,176,75,75
107,247,86,176,76,76
119,247,113,176,76,76
9,247,114,176,76,76
9,247,116,176,77,77
20,247,31,176,77,77
23,247,18,176,78,78
50,247,62,176,78,78
54,247,49,176,79,79
210,244,220,179,79,79
214,244,222,179,80,80
242,244,251,179,80,80
242,244,251,179,81,81
243,244,252,179,81,81
157,244,156,179,82,82
173,244,150,179,82,82
184,244,186,179,83,83
73,244,183,179,83,83
68,244,163,179,83,83
90,244,88,179,84,84
91,244,89,179,84,84
109,244,74,179,84,84
103,244,70,179,85,85
1,244,111,179,85,85
4,244,100,179,86,86
46,244,14,179,86,86
201,245,54,179,87,87
192,245,46,179,88,88
209,245,222,178,88,88
237,245,203,178,88,88
239,245,206,178,89,89
139,245,235,178,90,90
156,245,157,178,90,90
170,245,138,178,91,91
170,245,139,178,91,91
176,245,190,178,91,91
72,245,182,178,92,92
83,245,82,178,92,92
86,245,84,178,93,93
13,245,107,178,94,94
30,245,29,178,94,94
35,245,1,178,95,95
201,242,40,178,96,96
192,242,46,178,96,96
223,242,222,181,97,97
250,242,194,181,97,97
153,242,224,181,98,98
155,242,226,181,99,99
185,242,143,181,100,100
88,242,175,181,101,101
104,242,88,181,101,101
101,242,75,181,102,102
118,242,69,181,102,102
3,242,106,181,103,103
32,242,23,181,104,104
193,243,52,181,105,105
212,243,218,180,105,105
253,243,196,180,106,106
155,243,226,180,107,107
152,0,0,209,108,108
178,243,185,180,108,108
181,243,187,180,109,109
